Stock	Time	Last	Chg	Chg%	TVal	%Val	TLot	%Lot	TFrq	%Frq	Type	Stock Name	Corp. Action	
MBMAYUCK6A	09:45:15	144	12	9.1	1440000	100	100	100	1	100	S_WARI	SW Call 2,5:1 x550 MBMA 25 May 26 CGS (YU)	-	
BRMSZPCV6A	10:52:31	45	-2	-4.3	1391600	17	303	16	5	20	S_WARI	SW Call 8:1 x3260 BRMS 27 Okt 26 Maybank (ZP)	-	
EMTKDRCK6A	11:26:20	16	0	0.0	1387700	82	888	80	5	60	S_WARI	SW Call 7:1 x1250 EMTK 20 May 26 RHB (DR)	-	
LFLO	09:52:33	555	-5	-0.9	1385000	60	25	60	7	85	ACCEL	Imago Mulia Persada Tbk.	-	
BTPSYUCN6A	11:54:57	21	-2	-8.7	1381800	22	637	21	8	37	S_WARI	SW Call 5,8264:1 x1457 BTPS 15 Jul 26 CGS (YU)	-	
SMKL	11:42:25	174	-5	-2.8	1352800	21	77	20	20	30	ORDI_PREOPEN	Satyamitra Kemas Lestari Tbk.	-	
XBLQ	09:10:29	550	46	9.1	1337200	54	27	48	3	66	MUTI	ETF ACTIVE BATAVIA SMART LIQUID STOCK	-	
INDYDRCN6A	10:39:17	256	-6	-2.3	1310200	2	50	2	4	25	S_WARI	SW Call 4:1 x3390 INDY 29 Jun 26 RHB (DR)	-	
INKPYUCN6A	09:18:29	130	0	0.0	1300000	0	100	0	1	0	S_WARI	CGS International Sekuritas Indonesia	-	
AKKU	11:55:01	38	0	0.0	1284400	0	338	0	21	0	WATCH_CALL	Anugerah Kagum Karya Utama Tbk.	-	
NCKLHDCQ6A	10:36:24	86	7	8.9	1211400	60	138	59	3	66	S_WARI	SW Call 6:1 x2430 NCKL 10 Aug 26 KGI (HD)	-	
KLBFHDCK6A	09:47:59	26	-1	-3.7	1170000	100	450	100	4	100	S_WARI	SW Call 4:1 x1292 KLBF 20 May 26 KGI (HD)	-	
BMRIZPCH6A	09:58:39	39	1	2.6	1076400	27	276	27	6	16	S_WARI	SW Call 15:1 x4850 BMRI 26 Mar 26 Maybank (ZP)	-	
AMFG	11:31:24	3540	40	1.1	1059000	100	3	100	3	100	ORDI_PREOPEN	Asahimas Flat Glass Tbk.	-	
TLKMZPCV6A	11:14:31	35	1	2.9	1029000	100	294	100	1	100	S_WARI	SW Call 15:1 x10375 TLKM 27 Okt 26 Maybank (ZP)	-	
KIJAZPCV6A	11:57:23	28	0	0.0	1009500	65	355	64	14	64	S_WARI	SW Call 3:1 x250 KIJA 27 Okt 26 Maybank (ZP)	-	
AKRADRCH6A	09:28:21	10	0	0.0	1000000	0	1000	0	2	0	S_WARI	SW Call 2:1 x1650 AKRA 11 Mar 26 RHB (DR)	-	
TKIMZPCK6A	09:28:38	17	0	0.0	996200	0	586	0	1	0	S_WARI	SW Call 45:1 x8650 TKIM 20 May 26 Maybank (ZP)	-	
BMRIBQCN6A	09:02:44	49	0	0.0	980000	100	200	100	4	100	S_WARI	SW Call 11,7624:1 x6494 BMRI 28 Jul 26 KISI (BQ)	-	
JSMRDRCK6A	09:14:54	50	-1	-2.0	975000	0	195	0	1	0	S_WARI	SW Call 12:1 x3700 JSMR 20 May 26 RHB (DR)	-	
BBTNZPCU6A	09:17:53	53	3	6.0	959300	100	181	100	4	100	S_WARI	SW Call 6:1 x1350 BBTN 25 Sep 26 Maybank (ZP)	-	
ITMGHDCJ6A	10:08:11	82	-4	-4.7	955000	13	115	13	4	50	S_WARI	SW Call 29,04156:1 x22951 ITMG 23 Apr 26 KGI (HD)	-	
MIKABQCV6A	11:55:47	38	-1	-2.6	950000	0	250	0	1	0	S_WARI	SW Call 20:1 x6550 MIKA 27 Okt 26 KISI (BQ)	-	
MYORZPCH6A	11:55:17	23	-2	-8.0	933000	88	391	87	3	66	S_WARI	SW Call 12:1 x2350 MYOR 26 Mar 26 Maybank (ZP)	-	
TOWRHDCK6A	11:48:36	11	0	0.0	916300	88	833	88	8	62	S_WARI	SW Call 2,96286:1 x648 TOWR 6 May 26 KGI (HD)	-	
ERAABQCK6A	11:24:20	14	0	0.0	910000	0	650	0	1	0	S_WARI	SW Call 3:1 x768 ERAA 21 May 26 KISI (BQ)	-	
SMRADRCJ6A	11:13:09	10	-1	-9.1	889000	79	899	77	11	81	S_WARI	SW Call 3:1 x440 SMRA 20 Apr 26 RHB (DR)	-	
ESSABQCK6A	11:52:08	9	0	0.0	855100	0	950	0	5	20	S_WARI	SW Call 5:1 x1032 ESSA 21 May 26 KISI (BQ)	-	
ELSAHDCK6A	10:58:28	96	-6	-5.9	846000	0	85	0	2	0	S_WARI	SW Call 2,5:1 x541 ELSA 20 May 26 KGI (HD)	-	
BBNIDRCH6A	10:44:48	10	-1	-9.1	824500	1	915	1	4	75	S_WARI	SW Call 4:1 x5900 BBNI 11 Mar 26 RHB (DR)	-	
ADROBQCG6A	09:52:24	83	4	5.1	821700	0	99	0	1	0	S_WARI	SW Call 4,6334:1 x1853 ADRO 24 Feb 26 KISI (BQ)	-	
BRISHDCH6A	10:17:13	11	-2	-15.4	780900	8	692	6	6	33	S_WARI	SW Call 10:1 x2893 BRIS 26 Mar 26 KGI (HD)	-	
ADROHDCN6A	11:57:05	107	5	4.9	736000	29	70	28	3	66	S_WARI	SW Call 5,56216:1 x2036 ADRO 9 Jul 26 KGI (HD)	-	
CTRAZPCV6A	11:45:36	21	1	5.0	707000	45	346	43	5	20	S_WARI	SW Call 7:1 x2540 CTRA 27 Okt 26 Maybank (ZP)	-	
MTWI	10:44:43	346	0	0.0	656600	21	19	21	5	40	ORDI_PREOPEN	Malacca Trust Wuwungan Insurance Tbk.	-	
INCOHDCJ6A	09:28:10	322	32	11.0	642000	50	20	50	2	50	S_WARI	SW Call 10:1 x4077 INCO 23 Apr 26 KGI (HD)	-	
BBCAZPCN6A	11:14:38	30	-1	-3.2	613000	51	201	49	3	33	S_WARI	SW Call 30:1 x8875 BBCA 28 Jul 26 Maybank (ZP)	-	
TKIMDRCN6A	10:59:18	59	-1	-1.7	590000	0	100	0	1	0	S_WARI	SW Call 17:1 x8800 TKIM 29 Jun 26 RHB (DR)	-	
SCMAZPCM6A	10:32:34	26	0	0.0	569400	0	219	0	2	0	S_WARI	SW Call 1,9514:1 x371 SCMA 25 Jun 26 Maybank (ZP)	-	
VOKS	10:47:30	226	0	0.0	567200	16	25	16	4	50	ORDI_PREOPEN	Voksel Electric Tbk.	-	
MEDCBQCM6A	09:10:07	55	2	3.8	555500	99	101	99	2	50	S_WARI	SW Call 5:1 x2226 MEDC 25 Jun 26 KISI (BQ)	-	
BBRIDRCN6A	09:53:06	63	-1	-1.6	541800	100	86	100	1	100	S_WARI	SW Call 7,2282:1 x4626 BBRI 29 Jun 26 RHB (DR)	-	
R-LQ45X	09:29:09	1023	3	0.3	510300	0	5	0	4	0	MUTI	Premier ETF LQ-45 (R-LQ45X)	-	
ENRGZPCG6A	11:33:42	645	80	14.2	508500	63	8	62	2	50	S_WARI	SW Call 1,5:1 x360 ENRG 24 Feb 26 Maybank (ZP)	-	
KINO	10:40:43	1230	-40	-3.1	499500	51	4	50	4	50	ORDI_PREOPEN	Kino Indonesia Tbk.	-	
PGASBQCN6A	10:09:30	96	-8	-7.7	480000	100	50	100	1	100	S_WARI	SW Call 6:1 x5025 PGAS 28 Jul 26 KISI (BQ)	-	
BRAM	11:41:18	4690	-10	-0.2	469000	100	1	100	1	100	ORDI_PREOPEN	Indo Kordsa Tbk.	-	
INTPBQCQ6A	10:42:11	45	0	0.0	459000	100	102	100	1	100	S_WARI	SW Call 40:1 x18000 INTP 26 Aug 26 KISI (BQ)	-	
CYBR-W	09:18:36	1145	-75	-6.1	458000	50	4	50	3	33	WARI	Waran CYBR  ITSEC Asia Tbk.	End Waran 2027-08-06	
TFCO	10:55:01	880	30	3.5	440000	20	5	20	2	50	WATCH_CALL	Tifico Fiber Indonesia Tbk.	-	
INCOZPCN6A	10:57:04	230	26	12.7	437800	42	19	42	5	40	S_WARI	SW Call 12:1 x4900 INCO 28 Jul 26 Maybank (ZP)	-	
MDKABQCK6A	10:15:54	58	4	7.4	415600	67	72	65	4	50	S_WARI	SW Call 12:1 x3805 MDKA 21 May 26 KISI (BQ)	-	
BBRIDRCX6A	11:18:11	2030	-30	-1.5	409000	50	2	50	2	50	S_WARI	SW Call 0,8816:1 x2292 BBRI 23 Nov 26 RHB (DR)	-	
ISATHDCN6A	10:03:19	65	-1	-1.5	396700	2	61	1	5	20	S_WARI	SW Call 5:1 x3980 ISAT 27 Jul 26 KGI (HD)	-	
SRTGYUCN6A	09:10:42	73	0	0.0	365000	0	50	0	1	0	S_WARI	CGS International Sekuritas Indonesia	-	
BBTNDRCV6A	10:02:25	61	1	1.7	361700	85	57	84	8	87	S_WARI	SW Call 3:1 x1720 BBTN 29 Sep 26 RHB (DR)	-	
BBLD	09:13:59	900	10	1.1	360000	25	4	25	2	50	ORDI_PREOPEN	Buana Finance Tbk.	-	
TLKMBQCN6A	11:22:25	34	2	6.3	340000	0	100	0	1	0	S_WARI	SW Call 12:1 x5905 TLKM 28 Jul 26 KISI (BQ)	-	
LSIPZPCG6A	09:22:52	5	0	0.0	338300	43	616	38	7	57	S_WARI	SW Call 3,792:1 x1327 LSIP 24 Feb 26 Maybank (ZP)	-	
ITMGZPCJ6A	09:22:26	33	0	0.0	330000	0	100	0	1	0	S_WARI	SW Call 43,5623:1 x24201 ITMG 27 Apr 26 Maybank (ZP)	-	
INDYZPCG6A	10:48:13	286	-4	-1.4	314600	100	11	100	1	100	S_WARI	SW Call 8:1 x1350 INDY 24 Feb 26 Maybank (ZP)	-	
ADMRDRCJ6A	09:06:41	147	7	5.0	308700	100	21	100	3	100	S_WARI	SW Call 6:1 x1100 ADMR 20 Apr 26 RHB (DR)	-	
XIML	09:27:31	255	15	6.3	275400	17	11	18	3	66	MUTI	ETF PASSIVE IPIM MSCI LARGE CAP INDEX	-	
BBNIHDCQ6A	11:19:32	74	-13	-14.9	268200	50	36	50	2	50	S_WARI	SW Call 11:1 x8850 BBNI 10 Aug 26 KGI (HD)	-	
PNBNZPCQ6A	10:02:27	25	0	0.0	250000	0	100	0	1	0	S_WARI	SW Call 6:1 x1250 PNBN 26 Aug 26 Maybank (ZP)	-	
GOTOHDCK6A	11:36:19	12	0	0.0	240800	71	206	68	6	83	S_WARI	SW Call 1:1 x59 GOTO 20 May 26 KGI (HD)	-	
TAPGZPCH6A	11:24:44	89	-2	-2.2	231400	100	26	100	3	100	S_WARI	SW Call 5,6770:1 x994 TAPG 26 Mar 26 Maybank (ZP)	-	
NCKLBQCM6A	11:38:18	60	22	57.9	227900	56	39	56	11	63	S_WARI	SW Call 5:1 x1450 NCKL 25 Jun 26 KISI (BQ)	-	
XCID	11:57:06	54	1	1.9	212100	3	40	2	5	20	MUTI	ETF ACTIVE CIPTADANA REIT	-	
MDKAHDCN6A	09:53:26	115	7	6.5	206100	100	18	100	2	100	S_WARI	SW Call 10:1 x2450 MDKA 26 Jun 26 KGI (HD)	-	
ISATZPCU6A	11:44:53	24	1	4.3	205800	13	89	12	4	50	S_WARI	SW Call 15:1 x2500 ISAT 25 Sep 26 Maybank (ZP)	-	
WIFIBQCN6A	11:29:30	39	0	0.0	202600	0	52	0	3	0	S_WARI	SW Call 16:1 x9150 WIFI 28 Jul 26 KISI (BQ)	-	
AADIYUCK6A	10:29:50	326	48	17.3	195400	17	6	16	3	33	S_WARI	SW Call 9,3870:1 x6853 AADI 25 May 26 CGS (YU)	-	
BMRIBQCJ6A	11:16:05	58	2	3.6	182400	66	32	65	5	60	S_WARI	SW Call 11,7624:1 x5171 BMRI 27 Apr 26 KISI (BQ)	-	
HEALZPCH6A	11:54:38	17	-2	-10.5	172100	58	98	56	3	33	S_WARI	SW Call 8:1 x1400 HEAL 26 Mar 26 Maybank (ZP)	-	
XBID	11:04:45	537	0	0.0	161100	0	3	0	1	0	MUTI	ETF PASSIVE BATAVIA IDX30 INDEX	-	
BBRIYUCV6A	09:19:45	104	-1	-1.0	156000	0	15	0	1	0	S_WARI	SW Call 5,7825:1 x5012 BBRI 19 Oct 26 CGS (YU)	-	
BBRIBQCG6A	11:24:10	5	0	0.0	153000	99	307	98	9	88	S_WARI	SW Call 9,6376:1 x4530 BBRI 24 Feb 26 KISI (BQ)	-	
INTPZPCM6A	09:00:31	30	0	0.0	150000	0	50	0	1	0	S_WARI	SW Call 40:1 x7100 INTP 25 Jun 26 Maybank (ZP)	-	
ARTOHDCN6A	11:34:28	21	-1	-4.5	136000	75	62	74	5	60	S_WARI	SW Call 10:1 x2281 ARTO 26 Jun 26 KGI (HD)	-	
ADMRHDCQ6A	11:56:06	110	2	1.9	131900	100	12	100	4	100	S_WARI	SW Call 6:1 x2750 ADMR 10 Aug 26 KGI (HD)	-	
BRMSZPCG6A	10:23:40	330	38	13.0	131600	100	4	100	3	100	S_WARI	SW Call 2:1 x430 BRMS 24 Feb 26 Maybank (ZP)	-	
XIPI	11:09:57	218	-1	-0.5	131000	100	6	100	2	100	MUTI	ETF PASSIVE IPIM I-GRADE INDEX	-	
INCODRCK6A	11:02:46	282	40	16.5	113000	0	4	0	2	0	S_WARI	SW Call 10:1 x4500 INCO 20 May 26 RHB (DR)	-	
SIDODRCK6A	09:28:02	20	-1	-4.8	112000	100	56	100	1	100	S_WARI	SW Call 3,8442:1 x548 SIDO 20 May 26 RHB (DR)	-	
ADRODRCJ6A	09:00:27	84	0	0.0	109500	0	13	0	2	0	S_WARI	SW Call 5,5620:1 x1947 ADRO 20 Apr 26 RHB (DR)	-	
LSIPHDCJ6A	10:39:41	8	0	0.0	106400	100	133	100	3	100	S_WARI	SW Call 4:1 x1590 LSIP 23 Apr 26 KGI (HD)	-	
PANIDRCN6A	09:20:12	41	-4	-8.9	102500	100	25	100	1	100	S_WARI	SW Call 35:1 x16100 PANI 29 Jun 26 RHB (DR)	-	
XIFE	11:23:31	105	-5	-4.5	98800	0	10	0	4	0	MUTI	ETF PASSIVE IPIM FTSE INDONESIA ESG INDEX	-	
BUKAYUCN6A	10:05:10	19	0	0.0	95000	0	50	0	2	0	S_WARI	CGS International Sekuritas Indonesia	-	
HRUMBQCQ6A	10:34:36	40	4	11.1	88100	5	22	4	4	25	S_WARI	SW Call 8:1 x2760 HRUM 26 Aug 26 KISI (BQ)	-	
ELSAZPCN6A	09:00:32	54	0	0.0	81000	100	15	100	1	100	S_WARI	SW Call 5:1 x565 ELSA 28 Jul 26 Maybank (ZP)	-	
XISC	09:00:01	740	-122	-14.2	74000	0	1	0	1	0	MUTI	ETF ACTIVE IPIM BUMN STOCK	-	
ICBPDRCX6B	11:00:24	38	0	0.0	72200	100	19	100	1	100	S_WARI	SW Call 25:1 x12200 ICBP 16 Nov 26 RHB (DR)	-	
ARTOZPCV6A	09:41:14	35	0	0.0	70000	100	20	100	1	100	S_WARI	SW Call 15:1 x1600 ARTO 27 Okt 26 Maybank (ZP)	-	
XIHD	10:07:19	690	5	0.7	69000	0	1	0	1	0	MUTI	ETF PASSIVE IPIM IDXHIDIV20 INDEX	-	
BSDEBQCK6A	11:42:22	13	1	8.3	68600	95	53	94	2	50	S_WARI	SW Call 5:1 x1200 BSDE 22 May 25 KISI (BQ)	-	
CPINZPCJ6A	09:36:45	15	-1	-6.3	67500	0	45	0	1	0	S_WARI	SW Call 20:1 x5400 CPIN 27 Apr 26 Maybank (ZP)	-	
LSIPZPCQ6A	11:48:00	11	0	0.0	64700	30	56	28	4	50	S_WARI	SW Call 9:1 x1500 LSIP 26 Aug 26 Maybank (ZP)	-	
XBIN	09:16:15	615	5	0.8	61500	0	1	0	1	0	MUTI	Reksa Dana Indeks Bahana ETF Bisnis - 27	-	
MNCNHDCM6A	11:20:19	12	-1	-7.7	58800	100	49	100	3	100	S_WARI	SW Call 2:1 x265 MNCN 5 Jun 26 KGI (HD)	-	
BUKAZPCU6A	09:02:22	22	-1	-4.3	57200	0	26	0	1	0	S_WARI	SW Call 1,5:1 x505 BUKA 25 Sep 26 Maybank (ZP)	-	
BSDEHDCM6A	11:43:36	13	1	8.3	50700	100	39	100	1	100	S_WARI	SW Call 4:1 x1145 BSDE 5 Jun 26 KGI (HD)	-	
TLKMDRCM6A	09:24:11	48	0	0.0	48000	50	10	50	2	50	S_WARI	SW Call 4:1 x5150 TLKM 5 Jun 26 RHB (DR)	-	
XPLQ	09:00:01	462	0	0.0	46200	0	1	0	1	0	MUTI	ETF ACTIVE PINNACLE ENHANCED LIQUID STOCK	-	
ELSAZPCG6A	10:08:58	91	1	1.1	45500	100	5	100	1	100	S_WARI	SW Call 3:1 x490 ELSA 24 Feb 26 Maybank (ZP)	-	
MTELDRCK6A	10:40:46	7	0	0.0	39200	57	52	53	6	50	S_WARI	SW Call 6:1 x660 MTEL 20 May 26 RHB (DR)	-	
TOWRZPCV6A	10:04:25	17	-1	-5.6	34000	0	20	0	1	0	S_WARI	SW Call 6:1 x1755 TOWR 27 Okt 26 Maybank (ZP)	-	
SIDODRCM6A	10:08:41	13	0	0.0	32500	0	25	0	1	0	S_WARI	SW Call 2:1 x760 SIDO 5 Jun 26 RHB (DR)	-	
NCKLZPCM6A	09:54:33	50	6	13.6	30000	100	6	100	2	100	S_WARI	SW Call 7:1 x1350 NCKL 25 Jun 26 Maybank (ZP)	-	
ADMRYUCV6A	09:03:33	270	8	3.1	27000	100	1	100	1	100	S_WARI	SW Call 3:1 x1600 ADMR 19 Oct 26 CGS (YU)	-	
BBTNHDCN6A	09:12:01	51	0	0.0	25700	20	5	20	3	33	S_WARI	SW Call 5:1 x1350 BBTN 9 Jul 26 KGI (HD)	-	
BNGAZPCH6A	09:04:58	47	0	0.0	23500	0	5	0	2	0	S_WARI	SW Call 6:1 x1650 BNGA 26 Mar 26 Maybank (ZP)	-	
BBRIYUCN6A	09:00:48	117	0	0.0	23400	0	2	0	1	0	S_WARI	SW Call 6,7463:1 x4096 BBRI 15 Jul 26 CGS (YU)	-	
XSBC	11:14:47	107	3	2.9	21500	50	2	50	2	50	MUTI	ETF PASSIVE SIMAS IDX30 INDEX	-	
BNGAHDCN6A	09:00:07	62	0	0.0	18600	0	3	0	1	0	S_WARI	SW Call 5:1 x2084 BNGA 9 Jul 26 KGI (HD)	-	
MNCNDRCN6A	09:09:00	9	0	0.0	18000	0	20	0	1	0	S_WARI	SW Call 1,5:1 x400 MNCN 29 Jun 26 RHB (DR)	-	
BNGADRCK6A	09:00:54	56	0	0.0	16800	0	3	0	1	0	S_WARI	SW Call 6:1 x1900 BNGA 20 May 26 RHB (DR)	-	
BBNIYUCV6A	09:00:48	160	0	0.0	16000	0	1	0	1	0	S_WARI	SW Call 7:1 x5000 BBNI 19 Oct 26 CGS (YU)	-	
MTELZPCM6A	09:00:05	8	0	0.0	12000	0	15	0	1	0	S_WARI	SW Call 7:1 x650 MTEL 25 Jun 26 Maybank (ZP)	-	
XRDN	11:45:25	100	1	1.0	10000	100	1	100	1	100	MUTI	ETF XPD Indo Premier Investment Management	-	
BBRIZPCN6A	09:00:32	49	0	0.0	9800	0	2	0	1	0	S_WARI	SW Call 11,5651:1 x4048 BBRI 28 Jul 26 Maybank (ZP)	-	
SMGRZPCV6A	11:59:20	48	3	6.7	9600	50	2	50	2	50	S_WARI	SW Call 13:1 x8000 SMGR 27 Okt 26 Maybank (ZP)	-	
BBCAYUCK6A	10:55:57	95	-7	-6.9	9500	100	1	100	1	100	S_WARI	SW Call 11,9212:1 x8196 BBCA 25 May 26 CGS (YU)	-	
TAPGBQCQ6A	11:54:25	44	-1	-2.2	8800	0	2	0	2	0	S_WARI	SW Call 10:1 x4100 TAPG 26 Aug 26 KISI (BQ)	-	
EMTKZPCV6A	11:33:21	36	1	2.9	7300	51	2	50	2	50	S_WARI	SW Call 8:1 x3260 EMTK 27 Okt 26 Maybank (ZP)	-	
DSNGBQCQ6A	10:50:11	36	0	0.0	7200	0	2	0	2	0	S_WARI	SW Call 10:1 x4200 DSNG 26 Aug 26 KISI (BQ)	-	
ACESHDCN6A	09:19:55	35	0	0.0	7000	100	2	100	1	100	S_WARI	SW Call 2:1 x490 ACES 9 Jul 26 KGI (HD)	-	
INDYBQCQ6A	09:00:11	67	0	0.0	6700	100	1	100	1	100	S_WARI	SW Call 15:1 x6000 INDY 26 Aug 26 KISI (BQ)	-	
TAPGDRCJ6A	10:19:26	66	-3	-4.3	6600	0	1	0	1	0	S_WARI	SW Call 5,6770:1 x1136 TAPG 20 Apr 26 RHB (DR)	-	
MYORDRCK6A	10:19:47	50	-3	-5.7	5000	0	1	0	1	0	S_WARI	SW Call 6:1 x2450 MYOR 20 May 26 RHB (DR)	-	
ISATBQCN6A	09:50:19	50	1	2.0	5000	100	1	100	1	100	S_WARI	SW Call 5:1 x3558 ISAT 28 Jul 26 KISI (BQ)	-	
TLKMBQCG6A	09:10:04	24	-2	-7.7	4800	0	2	0	1	0	S_WARI	SW Call 8:1 x3540 TLKM 24 Feb 26 KISI (BQ)	-	
ARTODRCK6A	09:06:57	16	0	0.0	4800	0	3	0	1	0	S_WARI	SW Call 7:1 x2600 ARTO 20 May 26 RHB (DR)	-	
HRUMZPCQ6A	09:48:16	35	7	25.0	3500	0	1	0	1	0	S_WARI	SW Call 7:1 x1155 HRUM 26 Aug 26 Maybank (ZP)	-	
GOTOZPCH6A	09:25:00	16	0	0.0	1600	0	1	0	1	0	S_WARI	SW Call 1:1 x50 GOTO 26 Mar 26 Maybank (ZP)	-	
MAPAHDCN6A	04:07:09	0	0	0.0	0	0	0	0	0	0	S_WARI	SW Call 5:1 x1395 MAPA 27 Jul 26 KGI (HD)	-	
SWAT	04:07:09	0	0	0.0	0	0	0	0	0	0	WATCH_CALL	Sriwahana Adityakarta Tbk.	-	
META	04:07:09	0	0	0.0	0	0	0	0	0	0	WATCH_CALL	Nusantara Infrastructure Tbk.	-	
INKPHDCK6A	04:07:09	0	0	0.0	0	0	0	0	0	0	S_WARI	SW Call 16:1 x7756 INKP 20 May 26 KGI (HD)	-	
BLTZ	04:07:09	0	0	0.0	0	0	0	0	0	0	WATCH_CALL	Graha Layar Prima Tbk.	-	
SUPR	04:07:09	0	0	0.0	0	0	0	0	0	0	WATCH_CALL	Solusi Tunas Pratama Tbk.	-	
SUGI	04:07:09	0	0	0.0	0	0	0	0	0	0	WATCH_CALL	Sugih Energy Tbk.	-	
TAPGHDCH6A	04:07:09	0	0	0.0	0	0	0	0	0	0	S_WARI	SW Call 2,83851:1 x1181 TAPG 12 Mar 26 KGI (HD)	-	
SRTGZPCK6A	04:07:09	0	0	0.0	0	0	0	0	0	0	S_WARI	SW Call 10:1 x2400 SRTG 20 May 26 Maybank (ZP)	-	
SRTGZPCG6A	04:07:09	0	0	0.0	0	0	0	0	0	0	S_WARI	SW Call 6:1 x1750 SRTG 24 Feb 26 Maybank (ZP)	-	
TAPGZPCM6A	04:07:09	0	0	0.0	0	0	0	0	0	0	S_WARI	SW Call 7,7714:1 x1846 TAPG 25 Jun 26 Maybank (ZP)	-	
BMRIDRCX6A	04:07:09	0	0	0.0	0	0	0	0	0	0	S_WARI	SW Call 0,9086:1 x3362 BMRI 24 Nov 26 RHB (DR)	-	
BMRIHDCQ6A	04:07:09	0	0	0.0	0	0	0	0	0	0	S_WARI	SW Call 11,76238:1 x5068 BMRI 10 Aug 26 KGI (HD)	-	
GOTODRCG6A	04:07:09	0	0	0.0	0	0	0	0	0	0			-	
BMRIYUCK6A	04:07:09	0	0	0.0	0	0	0	0	0	0	S_WARI	SW Call 9,8020:1 x4901 BMRI 25 May 26 CGS (YU)	-	
BIMA	04:07:09	0	0	0.0	0	0	0	0	0	0	WATCH_CALL	Primarindo Asia Infrastructure Tbk.	-	
SRTGDRCK6A	04:07:09	0	0	0.0	0	0	0	0	0	0	S_WARI	SW Call 6:1 x2100 SRTG 20 May 26 RHB (DR)	-	
BIKA	04:07:09	0	0	0.0	0	0	0	0	0	0	WATCH_CALL	Binakarya Jaya Abadi Tbk.	-	
TDPM	04:07:09	0	0	0.0	0	0	0	0	0	0	WATCH_CALL	Tianrong Chemicals Industry Tbk.	-	
INRU	04:07:09	0	0	0.0	0	0	0	0	0	0	ORDI_PREOPEN	Toba Pulp Lestari Tbk.	-	
TECH	04:07:09	0	0	0.0	0	0	0	0	0	0	WATCH_CALL	Indosterling Technomedia Tbk.	-	
BFINZPCM6A	04:07:09	0	0	0.0	0	0	0	0	0	0	S_WARI	SW Call 7,6291:1 x820 BFIN 25 Jun 26 Maybank (ZP)	-	
BFINHDCM6A	04:07:09	0	0	0.0	0	0	0	0	0	0	S_WARI	SW Call 3,81457:1 x777 BFIN 5 Jun 26 KGI (HD)	-	
BFINDRCK6A	04:07:09	0	0	0.0	0	0	0	0	0	0	S_WARI	SW Call 5,7219:1 x887 BFIN 20 May 26 RHB (DR)	-	
TELE	04:07:09	0	0	0.0	0	0	0	0	0	0	WATCH_CALL	Omni Inovasi Indonesia Tbk.	-	
SRIL	04:07:09	0	0	0.0	0	0	0	0	0	0	WATCH_CALL	Sri Rejeki Isman Tbk.	-	
GOTODRCN6A	04:07:09	0	0	0.0	0	0	0	0	0	0	S_WARI	SW Call 1,2:1 x62 GOTO 29 Jun 26 RHB (DR)	-	
SQMI	04:07:09	0	0	0.0	0	0	0	0	0	0	WATCH_CALL	Wilton Makmur Indonesia Tbk.	-	
KING-W	04:07:09	0	0	0.0	0	0	0	0	0	0	WARI	Waran KING  Hoffmen Cleanindo Tbk.	!NEAR! End Waran 2026-02-18	
TGRA	04:07:09	0	0	0.0	0	0	0	0	0	0	WATCH_CALL	Terregra Asia Energy Tbk.	-	
TGUK	04:07:09	0	0	0.0	0	0	0	0	0	0	WATCH_CALL	Platinum Wahab Nusantara Tbk.	-	
SMRU	04:07:09	0	0	0.0	0	0	0	0	0	0	WATCH_CALL	SMR Utama Tbk.	-	
BEBS	04:07:09	0	0	0.0	0	0	0	0	0	0	WATCH_CALL	Berkah Beton Sadaya Tbk.	-	
SMRAZPCH6A	04:07:09	0	0	0.0	0	0	0	0	0	0	S_WARI	SW Call 2:1 x400 SMRA 26 Mar 26 Maybank (ZP)	-	
SMRAHDCN6A	04:07:09	0	0	0.0	0	0	0	0	0	0	S_WARI	SW Call 2:1 x434 SMRA 27 Jul 26 KGI (HD)	-	
TKIMHDCJ6A	04:07:09	0	0	0.0	0	0	0	0	0	0	S_WARI	SW Call 20:1 x7593 TKIM 23 Apr 26 KGI (HD)	-	
BOSS	04:07:09	0	0	0.0	0	0	0	0	0	0	WATCH_CALL	Borneo Olah Sarana Sukses Tbk.	-	
KLBFDRCG6A	04:07:09	0	0	0.0	0	0	0	0	0	0			-	
KLBFDRCN6A	04:07:09	0	0	0.0	0	0	0	0	0	0	S_WARI	SW Call 4:1 x1600 KLBF 29 Jun 26 RHB (DR)	-	
SMMA	04:07:09	0	0	0.0	0	0	0	0	0	0	ORDI_PREOPEN	Sinarmas Multiartha Tbk.	-	
HOTL	04:07:09	0	0	0.0	0	0	0	0	0	0	WATCH_CALL	Saraswati Griya Lestari Tbk.	-	
BRMSDRCJ6A	04:07:09	0	0	0.0	0	0	0	0	0	0	S_WARI	SW Call 3:1 x490 BRMS 20 Apr 26 RHB (DR)	-	
GOLL	04:07:09	0	0	0.0	0	0	0	0	0	0	WATCH_CALL	Golden Plantation Tbk.	-	
TLKMBQCJ6A	04:07:09	0	0	0.0	0	0	0	0	0	0	S_WARI	SW Call 10:1 x3600 TLKM 27 Apr 26 KISI (BQ)	-	
BRMSHDCH6A	04:07:09	0	0	0.0	0	0	0	0	0	0	S_WARI	SW Call 2:1 x447 BRMS 26 Mar 26 KGI (HD)	-	
