Stock	Time	Last	Chg	Chg%	TVal	%Val	TLot	%Lot	TFrq	%Frq	Type	Stock Name	Corp. Action	
PGEOHDPH6A	11:57:02	154	-14	-8.3	29596500	22	1794	21	195	36	S_WARI	SW Put 2:1 x1181 PGEO 13 Mar 26 KGI (HD)	-	
KARW	11:55:01	280	4	1.4	29364000	19	1061	18	23	21	WATCH_CALL	Meratus Jasa Prima Tbk.	-	
MAPIHDCK6A	09:22:57	66	-2	-2.9	29264400	0	4434	0	1	0	S_WARI	SW Call 3:1 x1306 MAPI 6 May 26 KGI (HD)	-	
TRST	11:57:14	468	6	1.3	29057400	52	613	51	40	50	ORDI_PREOPEN	Trias Sentosa Tbk.	-	
DIGI	11:55:01	37	1	2.8	28873000	6	7934	5	68	14	WATCH_CALL	Arkadia Digital Media Tbk.	-	
INPS	10:55:01	352	32	10.0	28758400	90	817	89	18	72	WATCH_CALL	Indah Prakasa Sentosa Tbk.	-	
GHON	11:41:39	1790	5	0.3	28580500	66	157	64	65	60	ORDI_PREOPEN	Gihon Telekomunikasi Indonesia Tbk.	-	
CRSN	11:58:11	123	-1	-0.8	28571500	32	2313	31	74	41	ORDI_PREOPEN	Carsurin Tbk.	-	
MBMAZPCN6A	11:25:59	33	2	6.5	28027100	88	8614	88	10	60	S_WARI	SW Call 6:1 x710 MBMA 28 Jul 26 Maybank (ZP)	-	
UFOE	11:41:48	174	-2	-1.1	27681900	1	1597	0	33	12	ORDI_PREOPEN	Damai Sejahtera Abadi Tbk.	-	
BELI	11:49:19	442	4	0.9	27584200	13	629	13	21	52	ORDI_PREOPEN	Global Digital Niaga Tbk.	-	
AADIZPCQ6A	11:40:22	48	3	6.7	27156100	65	5597	64	16	62	S_WARI	SW Call 37:1 x8500 AADI 26 Aug 26 Maybank (ZP)	-	
AMIN	11:56:53	264	-8	-2.9	26836600	12	1024	11	98	10	ORDI_PREOPEN	Ateliers Mecaniques D Indonesie Tbk.	-	
PEHA	10:04:23	296	0	0.0	26675000	14	906	14	26	23	ORDI_PREOPEN	Phapros Tbk.	-	
DART	11:52:18	177	3	1.7	26593400	50	1503	50	155	73	ORDI_PREOPEN	Duta Anggada Realty Tbk.	-	
SLIS-W	11:46:16	20	0	0.0	26150400	4	13738	3	46	30	WARI	Waran SLIS  Gaya Abadi Sempurna Tbk.	End Waran 2026-07-14	
GRIA	11:58:30	122	-2	-1.6	26125400	19	2131	19	51	15	ORDI_PREOPEN	Ingria Pratama Capitalindo Tbk.	-	
KIJAZPCQ6A	10:45:54	52	-2	-3.7	26055300	31	4956	29	36	30	S_WARI	SW Call 1:1 x200 KIJA 26 Aug 26 Maybank (ZP)	-	
BRPTZPCV6A	11:58:41	51	-5	-8.9	26052600	99	4928	99	11	63	S_WARI	SW Call 15:1 x9400 BRPT 27 Okt 26 Maybank (ZP)	-	
MEDCBQCH6A	11:21:14	51	0	0.0	25829900	6	5116	6	5	20	S_WARI	Korea Investment and Sekuritas Indonesia	-	
HRME	11:55:01	49	-3	-5.8	25702500	0	5019	0	41	0	WATCH_CALL	Menteng Heritage Realty Tbk.	-	
DNET	10:10:24	9075	0	0.0	25397500	14	29	13	7	42	ORDI_PREOPEN	Indoritel Makmur Internasional Tbk.	-	
MDKAZPCQ6A	09:50:38	75	5	7.1	25354400	96	3462	95	7	71	S_WARI	SW Call 15:1 x2600 MDKA 26 Aug 26 Maybank (ZP)	-	
MYOH	11:26:16	1395	10	0.7	25245500	12	181	12	13	53	ORDI_PREOPEN	Samindo Resources Tbk.	-	
CEKA	11:41:10	2330	-20	-0.9	25190000	37	107	37	16	25	ORDI_PREOPEN	Wilmar Cahaya Indonesia Tbk.	-	
BUKABQCV6A	10:08:02	25	0	0.0	25114400	0	10044	0	7	14	S_WARI	SW Call 2:1 x453 BUKA 27 Okt 26 KISI (BQ)	-	
ISATBQCJ6A	11:52:56	33	-1	-2.9	24844600	0	7165	0	10	0	S_WARI	SW Call 8:1 x2280 ISAT 27 Apr 26 KISI (BQ)	-	
SMDM	11:43:28	700	-5	-0.7	24731000	36	355	35	34	35	ORDI_PREOPEN	Suryamas Dutamakmur Tbk.	-	
TOWRDRCN6A	10:09:18	9	0	0.0	24313100	97	27103	97	25	80	S_WARI	SW Call 3,5:1 x800 TOWR 29 Jun 26 RHB (DR)	-	
RAJAHDCK6A	11:26:53	216	14	6.9	24063400	73	1109	71	22	59	S_WARI	SW Call 9,96743:1 x2990 RAJA 6 May 26 KGI (HD)	-	
PORT	10:50:40	985	0	0.0	23790000	21	241	21	23	47	ORDI_PREOPEN	Nusantara Pelabuhan Handal Tbk.	-	
ANTMDRCN6A	10:23:31	99	3	3.1	23682300	1	2361	1	12	33	S_WARI	SW Call 4,5:1 x5525 ANTM 29 Jun 26 RHB (DR)	-	
LMAX	11:52:14	157	1	0.6	23580400	49	1506	48	58	58	ACCEL	Lupromax Pelumas Indonesia Tbk.	-	
CLAY	11:47:42	2730	0	0.0	23474000	95	86	95	11	63	ORDI_PREOPEN	Citra Putra Realty Tbk.	-	
DMND	11:33:39	760	-10	-1.3	23187000	54	311	54	44	45	ORDI_PREOPEN	Diamond Food Indonesia Tbk.	-	
TIRA	11:57:57	1135	-20	-1.7	22934000	34	201	33	32	46	ORDI_PREOPEN	Tira Austenite Tbk	-	
GOOD	11:58:44	350	0	0.0	22928600	38	654	37	61	47	ORDI_PREOPEN	Garudafood Putra Putri Jaya Tbk.	-	
AMAR	11:58:20	214	0	0.0	22828600	52	1078	51	72	44	ORDI_PREOPEN	Bank Amar Indonesia Tbk.	-	
BBCABQCN6A	11:58:37	24	-1	-4.0	22746500	60	9521	59	41	29	S_WARI	SW Call 19,8687:1 x11723 BBCA 28 Jul 26 KISI (BQ)	-	
MTLA	11:15:02	590	-10	-1.7	22644000	0	386	0	11	0	ORDI_PREOPEN	Metropolitan Land Tbk.	-	
BBCAZPCH6A	11:57:17	16	-2	-11.1	22471400	23	13912	22	20	50	S_WARI	SW Call 15:1 x8750 BBCA 26 Mar 26 Maybank (ZP)	-	
BBCABQCJ6A	11:59:51	8	-1	-11.1	22292700	42	30059	38	48	39	S_WARI	SW Call 19,8687:1 x10779 BBCA 27 Apr 26 KISI (BQ)	-	
BISI	11:05:16	885	-5	-0.6	22188500	34	251	34	20	45	ORDI_PREOPEN	BISI International Tbk.	-	
MKTR	11:45:40	137	-1	-0.7	21989400	28	1604	28	192	57	ORDI_PREOPEN	Menthobi Karyatama Raya Tbk.	-	
EMTKHDCK6A	10:00:37	15	1	7.1	21806900	26	15576	25	14	50	S_WARI	SW Call 3,98305:1 x1349 EMTK 20 May 26 KGI (HD)	-	
